#  b = [b0:  0.02868000, b1:  0.00080000, b2: -0.02788000]
#  a = [a0:  1.00000000, a1: -2.00000000, a2:  1.00000000]
#  index      real(x)      imag(x)      real(y)      imag(y)        error
     265  -0.57333201  -0.81932312  -0.56862611  -0.82259607  -0.00573215
     266  -0.30559555  -0.95216143  -0.30092576  -0.95364755  -0.00490056
     267  -0.01056059  -0.99994421  -0.00650702  -0.99997884  -0.00405372
     268   0.28541774  -0.95840323   0.28845319  -0.95749402  -0.00316871
     269   0.55590004  -0.83124918   0.55798054  -0.82985407  -0.00250498
     270   0.77672440  -0.62984061   0.77802181  -0.62823731  -0.00206247
     271   0.92816496  -0.37216911   0.92876661  -0.37066504  -0.00161994
     272   0.99669355  -0.08125219   0.99678856  -0.08007859  -0.00117745
     273   0.97618872   0.21692289   0.97603071   0.21763282  -0.00072730
     274   0.86848211   0.49572051   0.86828035   0.49607381  -0.00040686
     275   0.68319499   0.73023599   0.68322104   0.73021162   0.00003567
     276   0.43687889   0.89952034   0.43730894   0.89931136   0.00047812
     277   0.15153688   0.98845160   0.15245436   0.98831052   0.00092827
     278  -0.14734173   0.98908567  -0.14598578   0.98928666   0.00137076
     279  -0.43305847   0.90136582  -0.43142334   0.90214962   0.00181329
     280  -0.68009061   0.73312807  -0.67843509   0.73466033   0.00225577
     281  -0.86637104   0.49940082  -0.86507779   0.50163776   0.00258386
     282  -0.97525960   0.22106269  -0.97458613   0.22401316   0.00302637
     283  -0.99702936  -0.07702270  -0.99729049  -0.07356369   0.00346886
     284  -0.92973560  -0.36822775  -0.93116879  -0.36458841   0.00391139
     285  -0.77938974  -0.62653947  -0.78196281  -0.62332511   0.00411738
     286  -0.55942184  -0.82888311  -0.56279206  -0.82659853   0.00407157
     287  -0.28948146  -0.95718360  -0.29342735  -0.95598137   0.00412498
     288   0.00631795  -0.99998003   0.00229218  -0.99999738   0.00402581
     289   0.30155298  -0.95344943   0.29782867  -0.95461935   0.00390376
     290   0.56985062  -0.82174826   0.56646240  -0.82408762   0.00411738
     291   0.78724420  -0.61664134   0.78465605  -0.61993134   0.00418599
     292   0.93431419  -0.35645053   0.93283314  -0.36030865   0.00413264
     293   0.99792296  -0.06441844   0.99765348  -0.06846580   0.00405632
     294   0.97238845   0.23336808   0.97330260   0.22952582   0.00394952
     295   0.85999167   0.51030809   0.86193466   0.50701940   0.00381977
     296   0.67077279   0.74166292   0.67366290   0.73903877   0.00390370
     297   0.42163455   0.90676582   0.42544731   0.90498322   0.00420891
     298   0.13483223   0.99086845   0.13905439   0.99028474   0.00426231
     299  -0.16401450   0.98645794  -0.15998918   0.98711878   0.00407922
     300  -0.44821003   0.89392829  -0.44464180   0.89570850   0.00398765
     301  -0.69236743   0.72154510  -0.68965596   0.72413719   0.00375114
     302  -0.87467653   0.48470709  -0.87280005   0.48807794   0.00385795
     303  -0.97885180   0.20457080  -0.97801393   0.20853965   0.00405633
     304  -0.99558735  -0.09383957  -0.99596661  -0.08972439   0.00413263
     305  -0.92338824  -0.38386735  -0.92490292  -0.38020334   0.00396476
     306  -0.76870400  -0.63960475  -0.77102977  -0.63679904   0.00364433
     307  -0.54535228  -0.83820695  -0.54842252  -0.83620137   0.00366724
     308  -0.27328491  -0.96193314  -0.27704528  -0.96085685   0.00391139
     309   0.02319469  -0.99973094   0.01929184  -0.99981391   0.00390374
     310   0.31760234  -0.94822401   0.31389830  -0.94945663   0.00390376
     311   0.58363891  -0.81201333   0.58029062  -0.81440943   0.00411732
     312   0.79753977  -0.60326642   0.79506761  -0.60652077   0.00408686
     313   0.94019729  -0.34063044   0.93889189  -0.34421214   0.00381217
     314   0.99886811  -0.04756634   0.99868226  -0.05132052   0.00375878
     315   0.96831119   0.24974680   0.96928251   0.24595007   0.00391900
     316   0.85125619   0.52475035   0.85332602   0.52137768   0.00395716
     317   0.65815943   0.75287855   0.66089308   0.75048006   0.00363670
     318   0.40627012   0.91375303   0.40948609   0.91231638   0.00352225
     319   0.11808917   0.99300301   0.12182080   0.99255210   0.00375878
     320  -0.18064056   0.98354918  -0.17683722   0.98424011   0.00386559
     321  -0.46323389   0.88623607  -0.45970976   0.88806921   0.00397239
     322  -0.70444709   0.70975655  -0.70162749   0.71254390   0.00396479
     323  -0.88273281   0.46987528  -0.88098568   0.47314289   0.00370536
     324  -0.98216510   0.18802062  -0.98149234   0.19150136   0.00354517
     325  -0.99386168  -0.11062970  -0.99426645  -0.10693115   0.00372064
     326  -0.91677779  -0.39939761  -0.91828161  -0.39592782   0.00378166
     327  -0.75779927  -0.65248781  -0.76037526  -0.64948398   0.00395713
     328  -0.53112733  -0.84729201  -0.53442448  -0.84521621   0.00389616
     329  -0.25701049  -0.96640861  -0.26058963  -0.96544969   0.00370538
     330   0.04006483  -0.99919707   0.03620967  -0.99934423   0.00385796
     331   0.33356118  -0.94272846   0.32977766  -0.94405866   0.00401054
     332   0.59726095  -0.80204701   0.59411311  -0.80438149   0.00391902
     333   0.80760807  -0.58971959   0.80548972  -0.59260970   0.00358332
     334   0.94581252  -0.32471329   0.94468045  -0.32799220   0.00346885
     335   0.99952865  -0.03070069   0.99941689  -0.03414485   0.00344598
     336   0.96395802   0.26605436   0.96489519   0.26263532   0.00354517
