# index  real(x)      imag(x)      real(y)      imag(y)      error        
   345  -0.94686801  -0.32162240  -0.94743293  -0.31995445   0.00176102
   346  -0.80953164  -0.58707625  -0.81051967  -0.58571142   0.00168492
   347  -0.59988222  -0.80008832  -0.60116987  -0.79912126   0.00161036
   348  -0.33664711  -0.94163088  -0.33809433  -0.94111223   0.00153735
   349  -0.04334032  -0.99906037  -0.04480484  -0.99899576   0.00146595
   350   0.25383794  -0.96724676   0.25248726  -0.96760022   0.00139616
   351   0.52834161  -0.84903189   0.52721361  -0.84973279   0.00132803
   352   0.75565010  -0.65497552   0.75482321  -0.65592829   0.00126156
   353   0.91545861  -0.40241214   0.91497636  -0.40350744   0.00119677
   354   0.99349193  -0.11390248   0.99336217  -0.11502870   0.00113367
   355   0.98277958   0.18478174   0.98297715   0.18372783   0.00107228
   356   0.88427846   0.46695997   0.88475084   0.46606432   0.00101259
   357   0.70678737   0.70742605   0.70746236   0.70675102   0.00095460
   358   0.46616107   0.88469987   0.46695564   0.88428074   0.00089833
   359   0.18389399   0.98294608   0.18472330   0.98279057   0.00084376
   360  -0.11479979   0.99338865  -0.11401410   0.99347913   0.00079088
   361  -0.40323884   0.91509477  -0.40256184   0.91539279   0.00073970
   362  -0.65565778   0.75505820  -0.65513649   0.75551054   0.00069019
   363  -0.84950875   0.52757453  -0.84916969   0.52812009   0.00064234
   364  -0.96747564   0.25296419  -0.96732467   0.25354090   0.00059614
   365  -0.99902081  -0.04424268  -0.99904506  -0.04369164   0.00055157
   366  -0.94132643  -0.33749748  -0.94149797  -0.33701866   0.00050862
   367  -0.79954616  -0.60060464  -0.79982671  -0.60023098   0.00046726
   368  -0.58634482  -0.81006158  -0.58669103  -0.80981086   0.00042746
   369  -0.32076703  -0.94715812  -0.32113566  -0.94703320   0.00038922
   370  -0.02653609  -0.99964786  -0.02688846  -0.99963844   0.00035250
   371   0.27006525  -0.96284202   0.26975976  -0.96292766   0.00031727
   372   0.54254246  -0.84002838   0.54230428  -0.84018216   0.00028351
   373   0.76655597  -0.64217750   0.76639463  -0.64237004   0.00025120
   374   0.92209532  -0.38696282   0.92201005  -0.38716595   0.00022030
   375   0.99526664  -0.09718191   0.99524808  -0.09737179   0.00019078
   376   0.97953375   0.20127998   0.97956647   0.20112068   0.00016263
   377   0.87630203   0.48176213   0.87636744   0.48164313   0.00013579
   378   0.69479286   0.71920990   0.69487215   0.71913329   0.00011025
   379   0.45121992   0.89241279   0.45129664   0.89237399   0.00008598
   380   0.16734084   0.98589910   0.16740288   0.98588857   0.00006293
   381  -0.13148630   0.99131799  -0.13144556   0.99132339   0.00004109
   382  -0.41856815   0.90818539  -0.41854961   0.90819393   0.00002041
   383  -0.66826056   0.74392729  -0.66825991   0.74392788   0.00000087
   384  -0.85825925   0.51321639  -0.85826826   0.51320132  -0.00001756
   385  -0.97159219   0.23666139  -0.97160046   0.23662746  -0.00003493
   386  -0.99813570  -0.06103386  -0.99813257  -0.06108501  -0.00005125
   387  -0.93551871  -0.35327714  -0.93549520  -0.35333941  -0.00006656
   388  -0.78933463  -0.61396323  -0.78928495  -0.61402708  -0.00008090
   389  -0.57264163  -0.81980581  -0.57256433  -0.81985980  -0.00009430
   390  -0.30479627  -0.95241757  -0.30469457  -0.95245011  -0.00010678
   391  -0.00972436  -0.99995272  -0.00960599  -0.99995386  -0.00011838
